title,year,imdb_id,director,country,canonical_tier,source,notes
Easy Rider,1969,tt0064276,Dennis Hopper,US,1,Biskind 1998 p.44,"Hopper; counterculture road movie; New Hollywood origin"
The Last Movie,1971,tt0067327,Dennis Hopper,US,2,Biskind 1998 p.120,"Hopper follow-up; meta-Western; commercial failure"
Lenny,1974,tt0071746,Bob Fosse,US,1,Elsaesser 2004 p.87,"Fosse; Lenny Bruce biopic; documentary-style"
All That Jazz,1979,tt0078754,Bob Fosse,US,1,Biskind 1998,"Fosse autobiographical; Felliniesque musical"
Cabaret,1972,tt0068327,Bob Fosse,US,1,Elsaesser 2004 p.72,"Fosse; Weimar musical; Oscar-winning"
The Last Detail,1973,tt0070290,Hal Ashby,US,1,Biskind 1998 p.198,"Ashby; Nicholson; anti-authority road movie"
Shampoo,1975,tt0073692,Hal Ashby,US,1,Biskind 1998 p.245,"Ashby; Beatty; political satire"
Coming Home,1978,tt0077362,Hal Ashby,US,1,Elsaesser 2004 p.112,"Ashby; Vietnam home front; Jane Fonda"
Harold and Maude,1971,tt0067185,Hal Ashby,US,1,Biskind 1998 p.155,"Ashby cult classic; dark comedy"
Being There,1979,tt0078841,Hal Ashby,US,2,Biskind 1998,"Ashby; Peter Sellers; political satire"
The Parallax View,1974,tt0071970,Alan J. Pakula,US,1,Elsaesser 2004 p.95,"Pakula paranoia trilogy; post-JFK conspiracy"
Klute,1971,tt0067309,Alan J. Pakula,US,1,Biskind 1998 p.135,"Pakula; Jane Fonda; psychological thriller"
All the President's Men,1976,tt0074119,Alan J. Pakula,US,1,Elsaesser 2004 p.102,"Pakula; Watergate journalism; paranoia trilogy peak"
The Way We Were,1973,tt0070903,Sydney Pollack,US,2,Biskind 1998,"Pollack; Streisand/Redford; romantic politics"
They Shoot Horses Don't They,1969,tt0065088,Sydney Pollack,US,1,Elsaesser 2004 p.62,"Pollack; Depression-era allegory; New Hollywood pessimism"
Three Days of the Condor,1975,tt0073802,Sydney Pollack,US,2,Biskind 1998,"Pollack; CIA conspiracy; paranoid thriller cycle"
Dog Day Afternoon,1975,tt0072890,Sidney Lumet,US,1,Elsaesser 2004 p.98,"Lumet; Pacino; true-crime New Hollywood"
Serpico,1973,tt0070666,Sidney Lumet,US,1,Biskind 1998 p.202,"Lumet; Pacino; NYPD corruption"
Network,1976,tt0074958,Sidney Lumet,US,1,Elsaesser 2004 p.106,"Lumet; media satire; Chayefsky script"
The Last Picture Show,1971,tt0067328,Peter Bogdanovich,US,1,Biskind 1998 p.128,"Bogdanovich; small-town elegy; B&W classicism"
Targets,1968,tt0063671,Peter Bogdanovich,US,2,Biskind 1998 p.38,"Bogdanovich debut; Corman-produced; Boris Karloff"
Paper Moon,1973,tt0070510,Peter Bogdanovich,US,2,Biskind 1998 p.196,"Bogdanovich; Depression-era road movie"
McCabe & Mrs. Miller,1971,tt0067411,Robert Altman,US,1,Biskind 1998 p.142,"Altman; anti-Western; overlapping dialogue"
Nashville,1975,tt0073440,Robert Altman,US,1,Elsaesser 2004 p.108,"Altman; multi-character American panorama"
The Long Goodbye,1973,tt0070334,Robert Altman,US,1,Biskind 1998 p.192,"Altman; Chandler deconstruction; Elliott Gould"
The Conversation,1974,tt0071360,Francis Ford Coppola,US,1,Biskind 1998 p.215,"Coppola; surveillance paranoia; Gene Hackman"
The Rain People,1969,tt0064873,Francis Ford Coppola,US,2,Biskind 1998 p.56,"Coppola pre-Godfather; road movie"
Mean Streets,1973,tt0070379,Martin Scorsese,US,1,Biskind 1998 p.183,"Scorsese breakthrough; Little Italy realism"
Alice Doesn't Live Here Anymore,1974,tt0071115,Martin Scorsese,US,2,Biskind 1998 p.222,"Scorsese; Ellen Burstyn; women's picture"
Play It As It Lays,1972,tt0069098,Frank Perry,US,2,Elsaesser 2004,"Perry; Joan Didion adaptation; Hollywood ennui"
