title,year,imdb_id,director,country,canonical_tier,source,notes
Stagecoach,1939,tt0031971,John Ford,US,1,Sarris 1968 p.51,"Ford; definitive Western; Wayne star-making"
The Grapes of Wrath,1940,tt0032551,John Ford,US,1,Schatz 1989 p.298,"Ford; Depression-era social drama; Zanuck/Fox"
The Searchers,1956,tt0049730,John Ford,US,1,Bordwell/Thompson 2003 p.320,"Ford; Western masterwork; Wayne obsessive quest"
How Green Was My Valley,1941,tt0033729,John Ford,US,1,Sarris 1968 p.55,"Ford; family saga; beat Citizen Kane for Oscar"
My Darling Clementine,1946,tt0038762,John Ford,US,2,Sarris 1968,"Ford; Wyatt Earp revisionist Western"
His Girl Friday,1940,tt0032599,Howard Hawks,US,1,Sarris 1968 p.57,"Hawks; screwball comedy peak; overlapping dialogue"
The Big Sleep,1946,tt0038355,Howard Hawks,US,1,Bordwell/Thompson 2003 p.285,"Hawks; film noir; Bogart/Bacall; Chandler adaptation"
Rio Bravo,1959,tt0053221,Howard Hawks,US,1,Sarris 1968 p.62,"Hawks; anti-High Noon Western; genre architecture"
Bringing Up Baby,1938,tt0029947,Howard Hawks,US,1,Schatz 1989 p.215,"Hawks; screwball comedy; Grant/Hepburn"
Red River,1948,tt0040724,Howard Hawks,US,2,Sarris 1968,"Hawks; Wayne/Clift; cattle drive epic"
It Happened One Night,1934,tt0025316,Frank Capra,US,1,Schatz 1989 p.155,"Capra; first sweep of major Oscars; romantic comedy template"
Mr. Smith Goes to Washington,1939,tt0031679,Frank Capra,US,1,Sarris 1968 p.86,"Capra; populist idealism; Stewart star turn"
It's a Wonderful Life,1946,tt0038650,Frank Capra,US,1,Schatz 1989 p.352,"Capra; American myth; retrospective classic"
Casablanca,1942,tt0034583,Michael Curtiz,US,1,Schatz 1989 p.305,"Curtiz; wartime romance; studio system exemplar"
Mildred Pierce,1945,tt0037913,Michael Curtiz,US,1,Bordwell/Thompson 2003 p.282,"Curtiz; noir-melodrama; Joan Crawford comeback"
Yankee Doodle Dandy,1942,tt0035575,Michael Curtiz,US,2,Schatz 1989,"Curtiz; Cagney musical biopic; wartime patriotism"
The Philadelphia Story,1940,tt0032904,George Cukor,US,1,Sarris 1968 p.92,"Cukor; screwball; Grant/Hepburn/Stewart"
Adam's Rib,1949,tt0041090,George Cukor,US,2,Sarris 1968,"Cukor; battle-of-sexes comedy; Hepburn/Tracy"
Born Yesterday,1950,tt0042276,George Cukor,US,2,Schatz 1989,"Cukor; comedy; Judy Holliday Oscar"
High Noon,1952,tt0044706,Fred Zinnemann,US,1,Bordwell/Thompson 2003 p.312,"Zinnemann; real-time Western; Cold War allegory"
From Here to Eternity,1953,tt0045793,Fred Zinnemann,US,1,Schatz 1989 p.385,"Zinnemann; pre-Pearl Harbor military drama; 8 Oscars"
A Streetcar Named Desire,1951,tt0044081,Elia Kazan,US,1,Sarris 1968 p.102,"Kazan; Method acting landmark; Brando breakout"
On the Waterfront,1954,tt0047296,Elia Kazan,US,1,Bordwell/Thompson 2003 p.316,"Kazan; labor corruption; Brando; Schulberg script"
East of Eden,1955,tt0048028,Elia Kazan,US,2,Sarris 1968,"Kazan; Steinbeck; James Dean debut"
The Maltese Falcon,1941,tt0033870,John Huston,US,1,Sarris 1968 p.99,"Huston; proto-noir; Bogart as Sam Spade"
The Treasure of the Sierra Madre,1948,tt0040897,John Huston,US,1,Bordwell/Thompson 2003 p.290,"Huston; greed parable; Bogart against type"
The African Queen,1951,tt0043265,John Huston,US,2,Sarris 1968,"Huston; Bogart/Hepburn; adventure-romance"
All About Eve,1950,tt0042192,Joseph L. Mankiewicz,US,1,Sarris 1968 p.110,"Mankiewicz; backstage drama; Bette Davis; 6 Oscars"
A Letter to Three Wives,1949,tt0041587,Joseph L. Mankiewicz,US,2,Schatz 1989,"Mankiewicz; epistolary comedy-drama"
An American in Paris,1951,tt0043278,Vincente Minnelli,US,1,Schatz 1989 p.370,"Minnelli; MGM musical peak; Gershwin"
Meet Me in St. Louis,1944,tt0037059,Vincente Minnelli,US,1,Bordwell/Thompson 2003 p.278,"Minnelli; family musical; Garland; Technicolor"
The Band Wagon,1953,tt0045537,Vincente Minnelli,US,2,Schatz 1989,"Minnelli; backstage musical; Astaire"
