title,year,imdb_id,director,country,canonical_tier,source,notes
Breathless,1960,tt0053472,Jean-Luc Godard,FR,1,Neupert 2007 p.190,"Paradigmatic FNW debut; jump cuts and location shooting"
Contempt,1963,tt0057345,Jean-Luc Godard,FR,1,Marie 2003 p.78,"Godard's critique of cinema industry; Bardot/Lang"
Vivre sa vie,1962,tt0056663,Jean-Luc Godard,FR,1,Neupert 2007 p.214,"12-tableau structure; Brechtian distanciation"
Band of Outsiders,1964,tt0057869,Jean-Luc Godard,FR,1,Neupert 2007,"Playful genre subversion; Godard mid-period"
Pierrot le Fou,1965,tt0059592,Jean-Luc Godard,FR,1,Marie 2003 p.95,"Peak Godard; narrative destruction and color"
Weekend,1967,tt0062480,Jean-Luc Godard,FR,1,Neupert 2007,"Godard's farewell to narrative cinema"
The 400 Blows,1959,tt0053198,François Truffaut,FR,1,Neupert 2007 p.155,"Truffaut debut; movement origin point"
Jules and Jim,1962,tt0055032,François Truffaut,FR,1,Marie 2003 p.62,"Truffaut masterwork; New Wave editing innovations"
Shoot the Piano Player,1960,tt0054389,François Truffaut,FR,1,Neupert 2007 p.178,"Genre hybridization; Aznavour lead"
The Wild Child,1970,tt0065957,François Truffaut,FR,2,Marie 2003,"Late FNW period; Truffaut classicist turn"
Cleo from 5 to 7,1962,tt0055852,Agnès Varda,FR,1,Neupert 2007 p.234,"Left Bank cinema; real-time structure"
Le Bonheur,1965,tt0058898,Agnès Varda,FR,2,Marie 2003,"Varda's provocative domestic idyll"
La Pointe Courte,1955,tt0048491,Agnès Varda,FR,1,Neupert 2007 p.68,"Proto-New Wave; Varda as movement precursor"
Le Beau Serge,1958,tt0051411,Claude Chabrol,FR,1,Neupert 2007 p.131,"First FNW feature; rural realism"
Les Cousins,1959,tt0052683,Claude Chabrol,FR,1,Neupert 2007 p.141,"Chabrol's provincial vs. Parisian morality play"
Les Bonnes Femmes,1960,tt0053676,Claude Chabrol,FR,2,Marie 2003,"Chabrol early social critique"
Lola,1961,tt0055093,Jacques Demy,FR,1,Neupert 2007 p.244,"Demy debut; musical-realist synthesis"
The Umbrellas of Cherbourg,1964,tt0058450,Jacques Demy,FR,1,Marie 2003 p.112,"Sung-through musical; Demy masterwork"
Hiroshima Mon Amour,1959,tt0052893,Alain Resnais,FR,1,Neupert 2007 p.94,"Left Bank landmark; literary/cinematic fusion"
Last Year at Marienbad,1961,tt0054632,Alain Resnais,FR,1,Marie 2003 p.52,"Radical narrative ambiguity; Robbe-Grillet script"
La Jetée,1962,tt0056119,Chris Marker,FR,1,Neupert 2007 p.256,"Photo-roman; foundational Left Bank work"
Le Joli Mai,1963,tt0057215,Chris Marker,FR,2,Neupert 2007,"Marker cinéma vérité documentary"
My Night at Maud's,1969,tt0064612,Éric Rohmer,FR,1,Marie 2003 p.135,"Rohmer Moral Tales cycle; conversational cinema"
Claire's Knee,1970,tt0065908,Éric Rohmer,FR,2,Marie 2003,"Late Moral Tales; Rohmer's sensual formalism"
Paris Belongs to Us,1961,tt0054203,Jacques Rivette,FR,2,Neupert 2007 p.200,"Rivette debut; conspiratorial narrative"
India Song,1975,tt0073165,Marguerite Duras,FR,2,Marie 2003,"Duras literary cinema; off-screen voices"
Destroy She Said,1969,tt0064252,Marguerite Duras,FR,2,Marie 2003,"Duras experimental period"
The Lovers,1958,tt0052234,Louis Malle,FR,1,Neupert 2007 p.124,"Malle's scandalous debut; FNW breakout"
Murmur of the Heart,1971,tt0067411,Louis Malle,FR,2,Marie 2003,"Late FNW; Malle's autobiographical comedy"
The Mother and the Whore,1973,tt0069995,Jean Eustache,FR,1,Marie 2003 p.148,"Movement endpoint; 3.5-hour post-FNW masterwork"
Trans-Europ-Express,1967,tt0062380,Alain Robbe-Grillet,FR,2,Marie 2003,"Nouveau roman cinema; metanarrative"
