title,year,imdb_id,director,country,canonical_tier,source,notes
Drunken Master,1978,,Yuen Woo-Ping,HK,1,Teo 1997 p.110,"Jackie Chan vehicle; kung fu comedy genre-defining; Teo's central case study"
A Touch Of Zen,1971,,King Hu,TW,1,Teo 1997 p.88,"King Hu wuxia masterwork; foundational for HK action grammar"
Peking Opera Blues,1986,,Hark Tsui,HK,1,Teo 1997 p.154,"Tsui Hark genre landmark; female-led action"
Shanghai Blues,1984,,Hark Tsui,HK,2,Teo 1997,"Tsui Hark; New Wave action-comedy hybrid"
Encounter of the Spooky Kind,1980,,Sammo Kam-Bo Hung,HK,2,Hunt 2003 p.78,"Sammo Hung supernatural action comedy; ghost-fighting sub-genre"
The Ghost Snatchers,1986,,Ngai Choi Lam,HK,2,Hunt 2003,"Lam supernatural horror-action; Teo discusses sub-genre"
The Seventh Curse,1986,,Ngai Choi Lam,HK,2,Hunt 2003,"Ngai Choi Lam; fantasy action; genre texture"
Iceman Cometh,1989,,Clarence Fok,HK,2,Teo 1997,"Time-travel action; HK genre hybrid"
Double Fixation,1987,,Yonfan,HK,3,Teo 1997,"Yonfan art-exploitation crossover"
How to Pick Girls Up!,1988,,Jing Wong,HK,3,Hunt 2003,"Jing Wong comedy-action; genre texture"
Girls Without Tomorrow,1988,,David Lam,HK,3,Teo 1997,"HK crime-action; late-1980s genre cycle"
Boys Are Easy,1993,,Jing Wong,HK,3,Teo 1997,"Jing Wong screwball action; early 1990s genre extension"
Curry and Pepper,1990,,Blackie Shou-Liang Ko,HK,3,Teo 1997,"Stephen Chow vehicle; buddy cop sub-genre"
Hipotermia,1996,,Patrick Leung Pak-Kin,HK,3,Teo 1997,"Mid-1990s HK crime cycle"
Love On Delivery,1994,,Lik-Chi Lee,HK,3,Hunt 2003,"Stephen Chow martial arts comedy; genre texture"
Perfect Match,1991,,Stephen Shin,HK,3,Teo 1997,"HK action-romance; genre texture"
The Heroic Trio,1993,,Johnnie To,HK,2,Teo 1997,"To early superhero-action; female-led; widely cited"
Women On The Run,1993,,David Lai,HK,3,Teo 1997,"Female action; 1990s cycle"
