title,year,imdb_id,director,country,canonical_tier,source,notes
The Untold Story,1993,tt0107130,Herman Yau,HK,1,Williams 1997 p.145,"Yau; Anthony Wong; true crime cannibalism; Cat III landmark"
Ebola Syndrome,1996,tt0116163,Herman Yau,HK,1,Bordwell 2000 p.163,"Yau; Anthony Wong; disease exploitation; peak Cat III"
Taxi Hunter,1993,,Herman Yau,HK,2,Williams 1997,"Yau; vigilante thriller; Cat III urban violence"
Dr. Lamb,1992,tt0104427,Billy Tang,HK,1,Williams 1997 p.138,"Tang/Lam; serial killer true crime; Simon Yam"
Run and Kill,1993,tt0107978,Billy Tang,HK,1,Williams 1997 p.152,"Tang; revenge escalation; extreme violence"
Brother of Darkness,1994,,Billy Tang,HK,2,Williams 1997,"Tang; incest-murder drama; Cat III social horror"
Naked Killer,1992,tt0105685,Clarence Fok,HK,1,Bordwell 2000 p.160,"Fok; lesbian assassin thriller; iconic Cat III"
Troublesome Night,1997,,Herman Yau,HK,3,Bordwell 2000,"Yau; ghost horror series; commercial Cat III"
Red to Kill,1994,,Billy Tang,HK,2,Williams 1997,"Tang; extreme Cat III; exploitation of disability"
Don't Gamble on Love,1991,,Billy Tang,HK,3,Williams 1997,"Tang; early Cat III crime thriller"
Daughter of Darkness,1993,,Herman Yau,HK,2,Williams 1997,"Yau; incest-murder true crime; Cat III social horror"
Sentenced to Hang,1989,tt0098313,Taylor Wong,HK,2,Bordwell 2000,"Wong; crime thriller; early Cat III"
Young and Dangerous,1996,tt0115695,Andrew Lau,HK,2,Bordwell 2000 p.168,"Lau; triad youth; commercially successful Cat III"
A Chinese Torture Chamber Story,1994,,Bosco Lam,HK,2,Williams 1997,"Lam; period exploitation; extreme Cat III"
Raped by an Angel,1993,,Andrew Lau,HK,3,Williams 1997,"Lau; Cat III cycle; controversial exploitation"
Story of Ricky,1991,tt0102293,Clarence Fok,HK,2,Bordwell 2000,"Fok; extreme martial arts violence; manga adaptation; Cat III spectacle"
