title,year,imdb_id,director,country,canonical_tier,source,notes
Cruel Story of Youth,1960,tt0054517,Nagisa Oshima,JP,1,Desser 1988 p.67,"Oshima debut; Shochiku Nouvelle Vague origin"
Night and Fog in Japan,1960,tt0054144,Nagisa Oshima,JP,1,Desser 1988 p.81,"Political allegory; Shochiku controversy"
Death by Hanging,1968,tt0063082,Nagisa Oshima,JP,1,Desser 1988 p.113,"Brechtian anti-execution satire"
Boy,1969,tt0064975,Nagisa Oshima,JP,1,Desser 1988 p.125,"Road film; Oshima social critique"
The Ceremony,1971,tt0067478,Nagisa Oshima,JP,2,Desser 1988 p.142,"Oshima family-as-nation allegory"
In the Realm of the Senses,1976,tt0074102,Nagisa Oshima,JP,1,Standish 2011 p.196,"Oshima; extreme eroticism as political statement"
Merry Christmas Mr. Lawrence,1983,tt0085933,Nagisa Oshima,JP,2,Standish 2011,"Late Oshima; international co-production"
Throw Away Your Books Rally in the Streets,1971,tt0067945,Shuji Terayama,JP,1,Desser 1988 p.155,"Terayama debut feature; underground cinema"
Pastoral Hide and Seek,1974,tt0072008,Shuji Terayama,JP,1,Desser 1988 p.162,"Terayama autobiographical fantasy"
Fruits of Passion,1981,tt0082429,Shuji Terayama,JP,2,Standish 2011,"Late Terayama; Franco-Japanese co-production"
AKA Serial Killer,1969,tt0065147,Masao Adachi,JP,1,Desser 1988 p.133,"Adachi landscape theory; avant-garde documentary"
Eros Plus Massacre,1969,tt0064267,Yoshishige Yoshida,JP,1,Desser 1988 p.1,"Title work of Desser's study; Yoshida masterwork"
Heroic Purgatory,1970,tt0066612,Yoshishige Yoshida,JP,1,Desser 1988 p.145,"Yoshida political trilogy; radical form"
Coup d'État,1973,tt0069937,Yoshishige Yoshida,JP,2,Desser 1988,"Yoshida political period"
Pale Flower,1964,tt0058427,Masahiro Shinoda,JP,1,Desser 1988 p.89,"Shinoda yakuza-art crossover; Shochiku Nouvelle Vague"
Double Suicide,1969,tt0064072,Masahiro Shinoda,JP,1,Desser 1988 p.131,"Shinoda Chikamatsu adaptation; puppet/live-action hybrid"
Assassination,1964,tt0058942,Masahiro Shinoda,JP,2,Desser 1988,"Shinoda jidaigeki political allegory"
The Insect Woman,1963,tt0057195,Shohei Imamura,JP,1,Desser 1988 p.92,"Imamura social-bottom portrait; movement landmark"
Intentions of Murder,1964,tt0058007,Shohei Imamura,JP,1,Desser 1988 p.96,"Imamura lower-class female protagonist"
The Pornographers,1966,tt0060847,Shohei Imamura,JP,1,Standish 2011 p.153,"Imamura satirical anthropology"
Pigs and Battleships,1961,tt0055382,Shohei Imamura,JP,2,Desser 1988 p.85,"Early Imamura; US military base critique"
Stray Cat Rock: Wild Jumbo,1970,tt0066479,Toshiya Fujita,JP,2,Standish 2011,"Fujita youth-rebellion cycle; Nikkatsu"
Stray Cat Rock: Sex Hunter,1970,tt0066478,Yasuharu Hasebe,JP,2,Standish 2011,"Hasebe; interracial tensions; Nikkatsu cycle"
