title,year,imdb_id,director,country,canonical_tier,source,notes
Secrets Behind the Wall,1965,tt0059051,Koji Wakamatsu,JP,1,Sharp 2008 p.45,"Wakamatsu early pink; political-erotic fusion"
Violated Angels,1967,tt0062489,Koji Wakamatsu,JP,1,Sharp 2008 p.62,"Wakamatsu; Richard Speck-inspired; confrontational"
Go Go Second Time Virgin,1969,tt0064352,Koji Wakamatsu,JP,1,Sharp 2008 p.78,"Wakamatsu rooftop psychodrama; pink cinema landmark"
Ecstasy of the Angels,1972,tt0068555,Koji Wakamatsu,JP,1,Sharp 2008 p.95,"Wakamatsu; radical left terrorism and eroticism"
The Embryo Hunts in Secret,1966,tt0060374,Koji Wakamatsu,JP,2,Sharp 2008,"Wakamatsu S&M confinement drama"
The Affair,1967,tt0062402,Tatsumi Kumashiro,JP,1,Sharp 2008 p.110,"Kumashiro debut; Nikkatsu Roman Porno pioneer"
Woman with Red Hair,1979,tt0079985,Tatsumi Kumashiro,JP,1,Sharp 2008 p.128,"Kumashiro late masterwork; peak Roman Porno"
Ichijo's Wet Lust,1972,tt0068671,Tatsumi Kumashiro,JP,1,Sharp 2008 p.118,"Kumashiro; geisha eroticism; commercially successful"
Manji,1964,tt0058308,Yasuzo Masumura,JP,1,Sharp 2008 p.32,"Masumura; Tanizaki adaptation; lesbian triangle"
Blind Beast,1969,tt0064112,Yasuzo Masumura,JP,1,Sharp 2008 p.38,"Masumura; Edogawa Rampo adaptation; sensory extremity"
Red Angel,1966,tt0060879,Yasuzo Masumura,JP,2,Weisser 1998,"Masumura wartime eroticism; Nikkatsu"
Muscle,1989,,Hisayasu Sato,JP,2,Sharp 2008 p.205,"Sato; gay pink; underground V-cinema; body obsession"
Lolita: Vibrator Torture,1987,,Hisayasu Sato,JP,3,Sharp 2008,"Sato; V-cinema pink exploitation"
Angel Guts: Red Classroom,1979,,Chusei Sone,JP,1,Sharp 2008 p.135,"Sone; Angel Guts manga adaptation; Roman Porno landmark"
Angel Guts: Nami,1979,,Chusei Sone,JP,2,Sharp 2008,"Sone; Angel Guts cycle continuation"
Apartment Wife: Affair in the Afternoon,1971,,Tatsumi Kumashiro,JP,2,Sharp 2008,"Kumashiro; early Roman Porno; Nikkatsu domestic eroticism"
Flower and Snake,1974,tt0071520,Masaru Konuma,JP,1,Sharp 2008 p.140,"Konuma; Dan Oniroku S&M adaptation; Roman Porno classic"
Wife to Be Sacrificed,1974,,Masaru Konuma,JP,2,Sharp 2008 p.145,"Konuma; Oniroku adaptation; confinement drama"
Dan Oniroku: Bikyoshi-zeme,1977,,Shogoro Nishimura,JP,2,Sharp 2008,"Nishimura; Oniroku S&M adaptation cycle"
Tattooed Flower Vase,1976,,Masaru Konuma,JP,2,Sharp 2008,"Konuma; Oniroku adaptation; Roman Porno tattoo eroticism"
Satisfaction,1969,,Noboru Tanaka,JP,2,Sharp 2008 p.85,"Tanaka early pink; Nikkatsu"
A Woman Called Sada Abe,1975,tt0073635,Noboru Tanaka,JP,1,Sharp 2008 p.100,"Tanaka; Abe Sada true crime; pre-Oshima treatment"
