"filename","title","year","director","language","country","user_tag","tier","decade","subdirectory","destination","confidence","reason","tmdb_id","tmdb_title","data_readiness"
"Ritmo, Traicion y Muerte La Cumbia Asesina (Christian Gonzalez, 1991).mp4","Ritmo, Traicion y Muerte La Cumbia Asesina","1991","Christian Gonzalez","","MX","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"Blue.Murder.1995.E01.DVDRip.x264-HANDJOB.mkv","Blue Murder","1995","Michael Jenkins","","AU","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","487044","Blue Murder","R3"
"Blue.Murder.1995.E02.DVDRip.x264-HANDJOB.mkv","Blue Murder","1995","Michael Jenkins","","AU","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","487044","Blue Murder","R3"
"How To Stuff A Wild Bikini.mkv","How To Stuff A Wild Bikini","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"Matinee 1993 1080p BluRay x264-OFT.mkv","Matinee","1993","Joe Dante","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","25389","Matinee","R3"
"Fair.Game.1986.Bdremux.1080P.m4v","Fair Game","1986","Mario Andreacchio","","AU","","Popcorn","1980s","","Popcorn/1980s/","0.65","popcorn_format_mainstream","49237","Fair Game","R3"
"Os.Herdeiros.1970.1080p.iT.WEB-DL.AAC2.0.H.264-TROPEiRO.mkv","Os Herdeiros","1970","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"Enter.the.Fat.Dragon.1978.576p.BDRip.x264-Amegae.mkv","Enter the Fat Dragon","1978","Sammo Kam-Bo Hung","","HK","","Satellite","1970s","Hong Kong Action","Satellite/Hong Kong Action/1970s/","0.65","structural_signal","78035","Enter the Fat Dragon","R3"
"Resurrection 2025 1080p WEB-DL DDP5 1 H 264-HDSWEB.mkv","Resurrection","2025","Bi Gan","","CN","","Unsorted","2020s","","Unsorted/","0.0","unsorted_no_match","1572413","Resurrection","R3"
"The.Second.Civil.War.1997.WEB-DL.1080p.mkv","The Second Civil War","1997","Joe Dante","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","45046","The Second Civil War","R3"
"Fortress (1985) DVDrip.mkv","Fortress","1985","Arch Nicholson","","AU","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","37929","Fortress","R3"
"The Man Inside.1958.576p.BDRip-AVC.ZONE.mkv","The Man Inside","1958","John Gilling","","GB","","Unsorted","1950s","","Unsorted/","0.0","unsorted_no_match","181368","The Man Inside","R3"
"Taxandria (1994) DVDRIP x264 AC3 KJNU.mkv","Taxandria","1994","Raoul Servais","","BE","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","153272","Taxandria","R3"
"Saint Flournoy Lobos-Logos and the Eastern Europe Fetus Taxing Japan Brides in West Coast Places Sucking Alabama Air (Will Hindle, 1970).avi","Saint Flournoy Lobos-Logos and the Eastern Europe Fetus Taxing Japan Brides in West Coast Places Sucking Alabama Air","1970","Will Hindle","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","401184","Saint Flournoy Lobos-Logos and the Eastern Europe Fetus Taxing Japan Brides in West Coast Places Sucking Alabama Air","R3"
"Audacia.1970.1080p.WEB.x264-gooz.mkv","Audacia","1970","Antônio Lima","","BR","","Satellite","1970s","Brazilian Exploitation","Satellite/Brazilian Exploitation/1970s/","0.65","structural_signal","161530","Audácia!","R3"
"Passing Through (1977).mkv","Passing Through","1977","Larry Clark","","US","","Satellite","1970s","American Exploitation","Satellite/American Exploitation/1970s/","0.65","director_signal","161585","Passing Through","R3"
"Redux.Redux.2025.1080p.WEBRip.x264.AAC5.1-[YTS.BZ].mp4","Redux Redux","2025","Kevin McManus","","US","","Unsorted","2020s","","Unsorted/","0.0","unsorted_no_match","1340110","Redux Redux","R3"
"Pigsty (1969)/Pigsty.1969.ITALIAN.1080p.BluRay.H264.AAC-VXT.mp4","Pigsty","1969","Pier Paolo Pasolini","it","IT","","Satellite","1960s","Giallo","Satellite/Giallo/1960s/","0.65","structural_signal","48688","Pigsty","R3"
"unroutable/Malena - Uncut (2000).mkv","Uncut","2000","Malena","","US","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"unroutable/One-Eyed Jacks (1961) 1080p h265 {imdb-tt0055257}.mkv","One-Eyed Jacks","1961","Marlon Brando","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","18647","One-Eyed Jacks","R3"
"unroutable/Raoul Walsh - Marines Let's Go (1961).avi","Marines Let's Go","1961","Raoul Walsh","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","315541","Marines, Let's Go","R3"
"unroutable/The.Brain.That.Wouldn't.Die.1962.1080p.BluRay.x264.mp4","The Brain That Wouldn't Die","1962","Joseph Green","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","33468","The Brain That Wouldn't Die","R3"
"unroutable/The.Pusher.1960.REPACK.576p.BluRay.AAC.1.0.x264-PTP.mkv","The Pusher","1960","Gene Milford","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","73894","The Pusher","R3"
"unroutable/Warren Sonbert - The Bad and The Beautiful (1967).mkv","The Bad and The Beautiful","1967","Warren Sonbert","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"unroutable/Cherry Harry e Raquel - Russ Meyer 1970 [DvdRip XviD Eng].avi","Russ Meyer","1970","Cherry Harry e Raquel","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"unroutable/Satan's School for Girls (1973).mp4","Satan's School for Girls","1973","David Lowell Rich","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","33543","Satan's School for Girls","R3"
"unroutable/The Stepford Wives (Bryan Forbes, 1975).mkv","The Stepford Wives","1975","Bryan Forbes","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","12223","The Stepford Wives","R3"
"unroutable/Public.Affairs.1983.Bdrip.1080p.x264.mkv","Public Affairs","1983","Henri Pachard","","US","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","298834","Public Affairs","R3"
"unroutable/Adventures in Dinosaur City (1991).mp4","Adventures in Dinosaur City","1991","Brett Thompson","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","49082","Adventures in Dinosaur City","R3"
"unroutable/Meditations on Revolution Part I—Lonely Planet (Robert Fenz, 1997).avi","Meditations on Revolution Part I—Lonely Planet","1997","Robert Fenz","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","259272","Meditations on Revolution Part I: Lonely Planet","R3"
"unroutable/New Rose Hotel (1998).mp4","New Rose Hotel","1998","Abel Ferrara","","US","","Satellite","1990s","American Exploitation","Satellite/American Exploitation/1990s/","0.65","director_signal","21430","New Rose Hotel","R3"
"unroutable/Queen.of.Diamonds.1991.720p.BluRay.x264-PTP.mkv","Queen of Diamonds","1991","Nina Menkes","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","173270","Queen of Diamonds","R3"
"unroutable/The Water Engine (1992).mp4","The Water Engine","1992","Steven Schachter","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","70263","The Water Engine","R3"
"unroutable/Meditations on Revolution Part III—Soledad (Robert Fenz, 2001).avi","Meditations on Revolution Part III—Soledad","2001","Robert Fenz","","US","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_match","259274","Meditations on Revolution Part III: Soledad","R3"
"unroutable/Meditations on Revolution Part IV—Greenville, MS (Robert Fenz, 2001).avi","Meditations on Revolution Part IV—Greenville, MS","2001","Robert Fenz","","US","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_match","259275","Meditations on Revolution Part IV: Greenville, MS","R3"
"unroutable/Meditations on Revolution Part V—Foreign City (Robert Fenz, 2003).mp4","Meditations on Revolution Part V—Foreign City","2003","Robert Fenz","","US","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_match","259276","Meditations on Revolution Part V: Foreign City","R3"
"unroutable/Kiss.and.Tell.1996.DVDRip.x264-CG.mkv","Kiss and Tell","1996","Andy Wolk","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","125409","Kiss and Tell","R3"
"unroutable/L'astragale (Guy Casaril, 1968).mkv","L'astragale","1968","Guy Casaril","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"unroutable/Death.of.a.Salesman.1985.1080p.BluRay.x264-OFT.mkv","Death of a Salesman","1985","Volker Schlöndorff","","US","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","12615","Death of a Salesman","R3"
"unroutable/Le livre de Marie (Anne-Marie Miéville, 1985).mkv","Le livre de Marie","1985","Anne-Marie Miéville","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"unroutable/Gang.of.Four.1989.FRENCH.1080p.WEBRip.x264-VXT.mp4","Gang of Four","1989","Jan Egleson","fr","FR","","Satellite","1980s","European Sexploitation","Satellite/European Sexploitation/1980s/","0.65","structural_signal","55853","Gang of Four","R3"
